"Date","Time","CO(GT)","PT08.S1(CO)","NMHC(GT)","C6H6(GT)","PT08.S2(NMHC)","NOx(GT)","PT08.S3(NOx)","NO2(GT)","PT08.S4(NO2)","PT08.S5(O3)","T","RH","AH"
2004-03-10,1899-12-31 18:00:00,2.6,1360,150,11.8817234886803,1045.5,166,1056.25,113,1692,1267.5,13.599999904633,48.875000953674,0.757753825129361
2004-03-10,1899-12-31 19:00:00,2,1292.25,112,9.3971648895816,954.75,103,1173.75,92,1558.75,972.25,13.299999952316,47.699999809265,0.725487449242467
2004-03-10,1899-12-31 20:00:00,2.2,1402,88,8.9978168713268,939.25,131,1140,114,1554.5,1074,11.900000095367,53.97500038147,0.750239067398195
2004-03-10,1899-12-31 21:00:00,2.2,1375.5,80,9.22879642140727,948.25,172,1092,122,1583.75,1203.25,11,60,0.786712533085925
2004-03-10,1899-12-31 22:00:00,1.6,1272.25,51,6.51822366907414,835.5,131,1205,116,1490,1110,11.150000095367,59.575000762939,0.788794231866759
2004-03-10,1899-12-31 23:00:00,1.2,1197,38,4.74101236247875,750.25,89,1336.5,96,1393,949.25,11.175000190735,59.175000190735,0.784771664339745
2004-03-11,1899-12-31 00:00:00,1.2,1185,31,3.62439918979752,689.5,62,1461.75,77,1332.75,732.5,11.324999809265,56.77499961853,0.760311939284329
2004-03-11,1899-12-31 01:00:00,1,1136.25,31,3.3266769916608,672,62,1453.25,76,1332.75,729.5,10.674999952316,60,0.770238457823045
2004-03-11,1899-12-31 02:00:00,0.9,1094,24,2.33941619508671,608.5,45,1579,60,1276,619.5,10.650000095367,59.674999237061,0.76481872568612
2004-03-11,1899-12-31 03:00:00,0.6,1009.75,19,1.69665825765132,560.75,-200,1705,-200,1234.75,501.25,10.250000238419,60.200000762939,0.75165716483069
2004-03-11,1899-12-31 04:00:00,-200,1011,14,1.2936197573721,526.75,21,1817.5,34,1196.75,445.25,10.075000047684,60.474999427795,0.746494516129247
2004-03-11,1899-12-31 05:00:00,0.7,1066,8,1.13343057118786,512,16,1918,28,1182,421.75,10.999999761581,56.175000190735,0.73655960018064
2004-03-11,1899-12-31 06:00:00,0.7,1051.75,16,1.60376787972881,553.25,34,1738.25,48,1221.25,471.5,10.450000047684,58.125,0.735295083024728
2004-03-11,1899-12-31 07:00:00,1.1,1144,29,3.24361814731007,667,98,1489.75,82,1339,729.75,10.200000047684,59.599999427795,0.741736162856327
2004-03-11,1899-12-31 08:00:00,2,1333.25,64,8.01377298709061,899.75,174,1136,112,1517,1101.5,10.75,57.425000190735,0.740794575739977
2004-03-11,1899-12-31 09:00:00,2.2,1351,87,9.54064292532022,960.25,129,1079,101,1582.75,1027.75,10.5,60.599998474121,0.769110792757908
2004-03-11,1899-12-31 10:00:00,1.7,1233.25,77,6.33578243722282,827.25,112,1218,98,1445.75,859.75,10.799999952316,58.35000038147,0.75518308265229
2004-03-11,1899-12-31 11:00:00,1.5,1178.75,43,4.97158376146257,762,95,1327.5,92,1361.75,670.5,10.499999761581,57.925000190735,0.735160779631515
2004-03-11,1899-12-31 12:00:00,1.6,1236,61,5.21691899988497,774.25,104,1301.25,95,1401.25,664,9.5249998569489,66.774998664856,0.795053788514204
2004-03-11,1899-12-31 13:00:00,1.9,1285.5,63,7.26993335753569,868.5,146,1162.25,112,1536.75,799,8.299999833107,76.425001144409,0.839268067750277
2004-03-11,1899-12-31 14:00:00,2.9,1371,164,11.5390072135637,1033.5,207,983.25,128,1730.25,1036.5,8,81.14999961853,0.873588533618542
2004-03-11,1899-12-31 15:00:00,2.2,1310,79,8.82622272645721,932.5,184,1081.75,126,1646.5,946.25,8.325000166893,79.799999237061,0.877784445098045
2004-03-11,1899-12-31 16:00:00,2.2,1291.75,95,8.30141341676182,911.5,193,1102.5,131,1590.75,956.75,9.7000000476837,71.150001525879,0.856938127943632
2004-03-11,1899-12-31 17:00:00,2.9,1383,150,11.1515812161294,1019.75,243,1008,135,1718.75,1104,9.7750000953674,67.624998092651,0.818501207475343
2004-03-11,1899-12-31 18:00:00,4.8,1580.75,307,20.7992168614605,1318.5,281,798.5,151,2083,1408.5,10.349999904633,64.174999237061,0.806543633173666
2004-03-11,1899-12-31 19:00:00,6.9,1775.5,461,27.3598074935868,1487.75,383,702.25,172,2332.5,1704,9.6500000953674,69.300001144409,0.831921144410088
2004-03-11,1899-12-31 20:00:00,6.1,1640,401,24.0177569359492,1404,351,742.75,165,2191.25,1653.75,9.6499998569489,67.75,0.813313935362591
2004-03-11,1899-12-31 21:00:00,3.9,1312.75,197,12.7793682487582,1076.25,240,957.25,136,1706.5,1284.75,9.125,63.974999427795,0.741924224489251
2004-03-11,1899-12-31 22:00:00,1.5,964.5,61,4.70707191924475,748.5,94,1325.25,85,1332.5,821,8.1750001907349,63.39999961853,0.69048444664144
2004-03-11,1899-12-31 23:00:00,1,912.75,26,2.64572150961059,629.25,47,1564.5,53,1252.25,551.75,8.2499998807907,60.824998855591,0.66574436040631
