"X","Y","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area","month","day"
9,9,73.3,65.7,72.3,56.1,33.3,63.6,9.4,6.4,69.3,"feb","mon"
9,9,69.2,71.7,72.3,56.1,33.3,65.4,9.4,6.4,64,"jul","mon"
9,9,72,61.7,69,56.1,33.3,62.2,9.4,6.4,63,"oct","mon"
9,9,72.6,71.2,61.5,56.1,33.3,61.2,9.4,6.4,67.8,"sep","fri"
9,9,66.4,64.5,68.3,56.1,33.3,66.7,9.4,6.4,68.8,"sep","thu"
9,9,68.4,71.4,63.7,56.1,33.3,72.4,9.4,6.4,65.6,"sep","mon"
9,9,73.9,65.8,64.7,56.1,33.3,73.5,9.4,6.4,75.4,"feb","mon"
9,9,69.5,69.6,68.3,56.1,33.3,69,9.4,6.4,67.1,"apr","fri"
9,9,77,75.4,66.3,56.1,33.3,71.6,9.4,6.4,73.6,"feb","mon"
9,9,67.6,70.3,72,56.1,33.3,69.6,9.4,6.4,70,"jun","fri"
9,9,72.5,72.5,64.5,56.1,33.3,70.4,9.4,6.4,73.6,"feb","wed"
9,9,67.3,69.9,77.3,56.1,33.3,67.6,9.4,6.4,64.5,"aug","sun"
9,9,64.8,73.1,71.8,56.1,33.3,68,9.4,6.4,71.9,"jun","sat"
9,9,75.4,73.1,73.6,56.1,33.3,68.4,9.4,6.4,68.3,"may","wed"
9,9,64.7,70.1,69.3,56.1,33.3,65.7,9.4,6.4,66.2,"oct","wed"
9,9,69,72.9,68.2,56.1,33.3,71.6,9.4,6.4,68.5,"jan","sun"
9,9,63.5,67.4,69.8,56.1,33.3,64.8,9.4,6.4,68,"sep","tue"
9,9,66.1,69.5,66.3,56.1,33.3,69.3,9.4,6.4,66.9,"mar","wed"
9,9,68.1,66.2,63.8,56.1,33.3,65.7,9.4,6.4,68.2,"jan","sun"
9,9,74.5,73.6,66.4,56.1,33.3,66.3,9.4,6.4,70.4,"jan","thu"
9,9,67,72,68.9,56.1,33.3,70.4,9.4,6.4,73.1,"may","sat"
9,9,72.3,65.4,75.9,56.1,33.3,74.1,9.4,6.4,71.2,"jun","tue"
9,9,72.7,66.6,76.3,56.1,33.3,70.8,9.4,6.4,72.8,"apr","thu"
9,9,69.9,68.5,71.7,56.1,33.3,69.8,9.4,6.4,70,"nov","wed"
9,9,66,69,69.3,56.1,33.3,70.6,9.4,6.4,59,"nov","tue"
9,9,69.6,64.7,70.2,56.1,33.3,72.9,9.4,6.4,71.8,"aug","fri"
9,9,65.3,68.5,69.2,56.1,33.3,74.7,9.4,6.4,67.2,"nov","wed"
9,9,72.3,73.6,67.5,56.1,33.3,69.7,9.4,6.4,73.8,"may","thu"
9,9,69.2,62.6,70.4,56.1,33.3,71.6,9.4,6.4,73.3,"oct","wed"
9,9,67.9,70.4,74.6,56.1,33.3,71.7,9.4,6.4,62.2,"nov","sun"
9,9,66.3,64.2,60.4,56.1,33.3,58.2,9.4,6.4,67.7,"apr","sat"
9,9,64.3,68.4,68.8,56.1,33.3,68.9,9.4,6.4,62.9,"aug","sat"
9,9,64.5,69.9,59.5,56.1,33.3,67.2,9.4,6.4,69.6,"apr","wed"
9,9,72.6,75.3,72.2,56.1,33.3,69.6,9.4,6.4,68.1,"jun","wed"
9,9,67.9,70.3,66.9,56.1,33.3,67,9.4,6.4,65.5,"mar","tue"
9,9,75.7,67,72.8,56.1,33.3,66.6,9.4,6.4,69.3,"mar","mon"
9,9,67.1,70.3,67.1,56.1,33.3,61.9,9.4,6.4,68.4,"aug","sat"
9,9,64.8,67.8,66.3,56.1,33.3,68.8,9.4,6.4,71.4,"aug","sat"
9,9,70.1,66.9,65.3,56.1,33.3,69.4,9.4,6.4,68.8,"sep","tue"
9,9,74.4,65,64.9,56.1,33.3,68.3,9.4,6.4,67,"apr","sun"
9,9,68.7,70.6,67.1,56.1,33.3,73.6,9.4,6.4,64.4,"jan","mon"
9,9,62.5,68,72.3,56.1,33.3,70.6,9.4,6.4,69.9,"mar","tue"
9,9,67.9,65.6,68.2,56.1,33.3,67.5,9.4,6.4,67.6,"jul","sat"
9,9,75.5,64.6,72,56.1,33.3,65.5,9.4,6.4,78.4,"feb","thu"
9,9,68.8,66,68.7,56.1,33.3,74.6,9.4,6.4,72.9,"oct","mon"
9,9,70.6,70.3,72.1,56.1,33.3,67.2,9.4,6.4,68.9,"mar","tue"
9,9,71.4,73,70.7,56.1,33.3,67.7,9.4,6.4,66.6,"aug","thu"
9,9,68.6,70.7,74.4,56.1,33.3,66.5,9.4,6.4,67.3,"jun","sun"
9,9,68.5,64,73.1,56.1,33.3,63,9.4,6.4,68.5,"aug","mon"
9,9,71.2,64.5,67.9,56.1,33.3,72.6,9.4,6.4,69.4,"jun","mon"
9,9,67.6,73.8,69.9,56.1,33.3,68.3,9.4,6.4,73.2,"nov","wed"
9,9,73.2,63.6,64.4,56.1,33.3,68.4,9.4,6.4,60.6,"mar","thu"
9,9,64.4,72,67.5,56.1,33.3,70.9,9.4,6.4,67.3,"jan","wed"
9,9,72.7,65.5,71.5,56.1,33.3,66,9.4,6.4,74.4,"oct","mon"
9,9,64.1,74.9,64.7,56.1,33.3,69.8,9.4,6.4,74.6,"mar","fri"
9,9,69.9,67.3,68.1,56.1,33.3,72.2,9.4,6.4,60.3,"aug","sat"
9,9,68.2,71.8,72,56.1,33.3,65.2,9.4,6.4,72.7,"sep","wed"
9,9,67,67,70.7,56.1,33.3,71.3,9.4,6.4,75.5,"oct","thu"
9,9,67.6,63.7,68.6,56.1,33.3,69.9,9.4,6.4,72.9,"feb","sun"
9,9,73.1,65.8,70,56.1,33.3,66.1,9.4,6.4,65,"may","mon"
9,9,71.6,74.3,70.7,56.1,33.3,74.4,9.4,6.4,70.5,"jun","wed"
9,9,72.7,68,70.7,56.1,33.3,67,9.4,6.4,66.4,"may","wed"
9,9,63.9,71.9,70.4,56.1,33.3,71.2,9.4,6.4,72.6,"dec","sun"
9,9,70.8,72.6,71.3,56.1,33.3,70,9.4,6.4,73.3,"apr","mon"
9,9,70.6,74.2,64.2,56.1,33.3,70.9,9.4,6.4,69.3,"apr","tue"
9,9,68.8,66.7,67.9,56.1,33.3,70.6,9.4,6.4,61.2,"oct","wed"
9,9,64.9,70.2,63.9,56.1,33.3,66.3,9.4,6.4,73.5,"aug","wed"
9,9,65.2,67.9,66.2,56.1,33.3,73.5,9.4,6.4,73.3,"dec","thu"
9,9,63.2,67.1,68.9,56.1,33.3,72.1,9.4,6.4,75.1,"dec","thu"
9,9,68.3,70.3,69.1,56.1,33.3,65.9,9.4,6.4,65.4,"jun","mon"
9,9,61.6,64,74.3,56.1,33.3,66.4,9.4,6.4,70.9,"oct","fri"
9,9,66.5,63,77.3,56.1,33.3,68.6,9.4,6.4,70.7,"nov","sun"
9,9,66.7,68.8,68,56.1,33.3,71.3,9.4,6.4,70.7,"apr","thu"
9,9,69.9,73.1,67.5,56.1,33.3,67.8,9.4,6.4,72.1,"jan","sun"
9,9,65.3,75.3,67.5,56.1,33.3,69,9.4,6.4,61.6,"aug","fri"
9,9,66.6,73.1,70.1,56.1,33.3,68.2,9.4,6.4,67.5,"sep","wed"
9,9,66.2,68.6,66.8,56.1,33.3,60.9,9.4,6.4,70.9,"mar","tue"
9,9,67.4,68.2,70.4,56.1,33.3,68.7,9.4,6.4,63.4,"apr","thu"
9,9,68.7,68.6,75.4,56.1,33.3,65.7,9.4,6.4,62.9,"jun","wed"
9,9,68.9,68.5,69.5,56.1,33.3,69.4,9.4,6.4,70.5,"may","mon"
9,9,68.7,67.6,66.2,56.1,33.3,70.8,9.4,6.4,61.9,"apr","mon"
9,9,74.2,64.1,63.1,56.1,33.3,69.9,9.4,6.4,56.8,"feb","wed"
9,9,65.8,64.3,72.3,56.1,33.3,73.8,9.4,6.4,69.6,"mar","sat"
9,9,70.8,68.2,67.9,56.1,33.3,63.4,9.4,6.4,69.2,"apr","sun"
9,9,63,71,67.5,56.1,33.3,74.6,9.4,6.4,74.1,"aug","mon"
9,9,68.5,73.2,68,56.1,33.3,65.9,9.4,6.4,72,"apr","thu"
9,9,69.4,69.3,64.7,56.1,33.3,68.2,9.4,6.4,69.3,"apr","tue"
9,9,72.5,68.1,75.9,56.1,33.3,65,9.4,6.4,67.8,"aug","sun"
9,9,68,68.7,73.7,56.1,33.3,62.5,9.4,6.4,68.5,"oct","wed"
9,9,68.5,75.1,69.3,56.1,33.3,63.7,9.4,6.4,68,"nov","tue"
9,9,66.3,67.8,72.7,56.1,33.3,72.2,9.4,6.4,55.5,"apr","thu"
9,9,64.3,60.2,62.7,56.1,33.3,70,9.4,6.4,71.9,"aug","sun"
9,9,70.8,69.9,70.1,56.1,33.3,76.3,9.4,6.4,73.4,"feb","sat"
9,9,68.5,71.5,70.7,56.1,33.3,72.5,9.4,6.4,71.3,"jan","fri"
9,9,66.9,70.6,67.4,56.1,33.3,73.5,9.4,6.4,68,"mar","sun"
9,9,70.4,68.2,72.3,56.1,33.3,74.4,9.4,6.4,74.1,"dec","wed"
9,9,65.3,72.9,68.4,56.1,33.3,72.3,9.4,6.4,65.6,"feb","tue"
9,9,72.1,70.4,74.7,56.1,33.3,76.2,9.4,6.4,71.2,"nov","sun"
9,9,68.5,69.5,74.3,56.1,33.3,69.1,9.4,6.4,71.6,"may","wed"
9,9,70.9,67.1,72.6,56.1,33.3,71.8,9.4,6.4,71.3,"jun","sat"
9,9,65.8,68.8,71.1,56.1,33.3,76.5,9.4,6.4,69.9,"jun","thu"
9,9,70.9,68.7,70.4,56.1,33.3,69.4,9.4,6.4,66.4,"apr","mon"
9,9,71.6,67.7,73.8,56.1,33.3,73.8,9.4,6.4,65.9,"apr","mon"
9,9,65.4,68.9,68.6,56.1,33.3,73,9.4,6.4,68.6,"mar","sun"
9,9,68.7,67.7,67.8,56.1,33.3,65.6,9.4,6.4,65.1,"dec","fri"
9,9,72.6,70.7,67.8,56.1,33.3,66.5,9.4,6.4,63.1,"jul","mon"
9,9,73,71.7,58.8,56.1,33.3,68.1,9.4,6.4,68.1,"jun","thu"
9,9,69.8,73.2,71.2,56.1,33.3,64,9.4,6.4,66.9,"aug","fri"
9,9,75.6,65.3,64.7,56.1,33.3,74,9.4,6.4,77.4,"dec","thu"
9,9,70.3,69.9,71.8,56.1,33.3,65.6,9.4,6.4,67.2,"jun","fri"
9,9,73.3,71.9,62.7,56.1,33.3,73.4,9.4,6.4,69.6,"oct","fri"
9,9,71,70.4,69.9,56.1,33.3,65,9.4,6.4,61.4,"jul","wed"
9,9,73.3,65.5,75.2,56.1,33.3,66.8,9.4,6.4,73.5,"jul","fri"
9,9,64.5,70.5,62,56.1,33.3,68.1,9.4,6.4,67,"oct","sun"
9,9,65.9,65.6,77.2,56.1,33.3,70.5,9.4,6.4,67.9,"jul","thu"
9,9,65.4,70.8,67.5,56.1,33.3,67.9,9.4,6.4,64.8,"jun","sat"
9,9,74.8,68.7,72.5,56.1,33.3,74.2,9.4,6.4,71.6,"oct","thu"
9,9,67.9,67.8,71.7,56.1,33.3,65.7,9.4,6.4,71.1,"nov","thu"
9,9,65.5,67.2,68.7,56.1,33.3,71.5,9.4,6.4,71.7,"apr","fri"
9,9,67.3,68.8,62.3,56.1,33.3,78,9.4,6.4,71.3,"mar","fri"
9,9,69.5,77.6,67.9,56.1,33.3,66.8,9.4,6.4,71.7,"apr","sat"
9,9,67.1,65.8,68.2,56.1,33.3,67.6,9.4,6.4,74.8,"oct","wed"
9,9,67,71.4,78.2,56.1,33.3,72.4,9.4,6.4,66.1,"jul","sun"
9,9,64.4,65.8,67.6,56.1,33.3,67.9,9.4,6.4,75.7,"dec","mon"
9,9,72.4,60.7,63.6,56.1,33.3,76.2,9.4,6.4,63.5,"jun","mon"
9,9,70.4,71.9,71.1,56.1,33.3,70.2,9.4,6.4,64,"jul","sun"
9,9,64,76.6,74.1,56.1,33.3,70.4,9.4,6.4,67.8,"mar","mon"
9,9,67.6,70.1,74.1,56.1,33.3,72.9,9.4,6.4,72.1,"sep","mon"
9,9,70.3,70.7,63.3,56.1,33.3,69.8,9.4,6.4,70.4,"may","mon"
9,9,74.5,67.9,74,56.1,33.3,73.8,9.4,6.4,71.8,"jan","mon"
9,9,74.8,69.7,70.2,56.1,33.3,68.4,9.4,6.4,67.6,"jan","wed"
9,9,68.4,67.5,72,56.1,33.3,66.8,9.4,6.4,65.7,"jan","wed"
9,9,71.8,76,71.2,56.1,33.3,67,9.4,6.4,68,"jun","wed"
9,9,64.3,70.1,74.1,56.1,33.3,76.3,9.4,6.4,70.5,"jul","fri"
9,9,64.9,72.4,67.6,56.1,33.3,70.3,9.4,6.4,72.7,"oct","fri"
9,9,71.7,68,75.8,56.1,33.3,65.4,9.4,6.4,70.8,"sep","sun"
9,9,71.5,68.9,71.3,56.1,33.3,71,9.4,6.4,64.8,"oct","mon"
9,9,67.8,72,69.9,56.1,33.3,75.3,9.4,6.4,73.8,"jul","wed"
9,9,66.8,69.9,71.7,56.1,33.3,62.3,9.4,6.4,64.7,"may","sat"
9,9,72.4,69.4,64.3,56.1,33.3,69.5,9.4,6.4,65.2,"dec","thu"
9,9,73.8,70.1,68,56.1,33.3,68.9,9.4,6.4,71.8,"may","sat"
9,9,69.8,70.2,71.9,56.1,33.3,67.6,9.4,6.4,70.2,"jun","fri"
9,9,71.8,66.8,69.5,56.1,33.3,69.5,9.4,6.4,76.2,"sep","thu"
9,9,72.9,72.7,61.6,56.1,33.3,70.5,9.4,6.4,74.9,"jan","mon"
9,9,66.5,69,70,56.1,33.3,72.7,9.4,6.4,62.4,"jan","wed"
